epoch,train_loss,val_loss,test_loss,train_accuracy,val_accuracy,test_accuracy,train_macro_sensitivity,val_macro_sensitivity,test_macro_sensitivity,train_macro_specificity,val_macro_specificity,test_macro_specificity
1,1.0935979359800683,1.0945087495183021,1.093192678155808,0.40186915887850466,0.3888888888888889,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
100,0.00520712049543828,0.08446470119645294,0.0027162072172673443,1.0,0.9722222222222222,1.0,1.0,0.9666666666666667,1.0,1.0,0.9848484848484849,1.0
200,0.0021183407372216724,0.09608315012596957,0.0014446050453574511,1.0,0.9444444444444444,1.0,1.0,0.9388888888888888,1.0,1.0,0.9696969696969697,1.0
300,0.0012844504582234734,0.10329129248993839,0.0010009041527182674,1.0,0.9444444444444444,1.0,1.0,0.9388888888888888,1.0,1.0,0.9696969696969697,1.0
400,0.0009063859706443082,0.11023866135515202,0.0007955952959150647,1.0,0.9444444444444444,1.0,1.0,0.9388888888888888,1.0,1.0,0.9696969696969697,1.0
500,0.0006941048074727512,0.11477229802699779,0.0006496158205197967,1.0,0.9444444444444444,1.0,1.0,0.9388888888888888,1.0,1.0,0.9696969696969697,1.0
600,0.0005588045377763415,0.11914553063747031,0.0005573919567770802,1.0,0.9444444444444444,1.0,1.0,0.9388888888888888,1.0,1.0,0.9696969696969697,1.0
700,0.00046527888765658014,0.12274269781681789,0.0004918690868315914,1.0,0.9444444444444444,1.0,1.0,0.9388888888888888,1.0,1.0,0.9696969696969697,1.0
800,0.00039749018086195846,0.1259944222475854,0.00044077619587707274,1.0,0.9444444444444444,1.0,1.0,0.9388888888888888,1.0,1.0,0.9696969696969697,1.0
900,0.00034601998348284316,0.128418400776043,0.0003951662615621022,1.0,0.9444444444444444,1.0,1.0,0.9388888888888888,1.0,1.0,0.9696969696969697,1.0
1000,0.0003054467642380508,0.13144955462553118,0.00036291503206235684,1.0,0.9444444444444444,1.0,1.0,0.9388888888888888,1.0,1.0,0.9696969696969697,1.0
