config,seed,learning_rate,layer_sizes,final_train_loss,final_train_accuracy,final_train_macro_sensitivity,final_train_macro_specificity,final_train_sensitivity_class_0,final_train_sensitivity_class_1,final_train_sensitivity_class_2,final_train_specificity_class_0,final_train_specificity_class_1,final_train_specificity_class_2,final_val_loss,final_val_accuracy,final_val_macro_sensitivity,final_val_macro_specificity,final_val_sensitivity_class_0,final_val_sensitivity_class_1,final_val_sensitivity_class_2,final_val_specificity_class_0,final_val_specificity_class_1,final_val_specificity_class_2,final_test_loss,final_test_accuracy,final_test_macro_sensitivity,final_test_macro_specificity,final_test_sensitivity_class_0,final_test_sensitivity_class_1,final_test_sensitivity_class_2,final_test_specificity_class_0,final_test_specificity_class_1,final_test_specificity_class_2
small_1_hidden_4_lr_0_001,0,0.001,13 -> 4 -> 3,0.7776355038483858,0.6728971962616822,0.6201550387596899,0.8211805555555555,1.0,0.8604651162790697,0.0,0.9166666666666666,0.546875,1.0,0.7700172646610074,0.6666666666666666,0.6190476190476191,0.8219696969696969,1.0,0.8571428571428571,0.0,0.875,0.5909090909090909,1.0,0.7658339019135807,0.7142857142857143,0.6428571428571429,0.8426501035196687,1.0,0.9285714285714286,0.0,0.9565217391304348,0.5714285714285714,1.0
small_1_hidden_4_lr_0_001,1,0.001,13 -> 4 -> 3,0.773068279834536,0.6448598130841121,0.6434108527131782,0.8048878205128206,0.0,0.9302325581395349,1.0,1.0,0.453125,0.9615384615384616,0.7638689131560008,0.6666666666666666,0.6666666666666666,0.8181818181818182,0.0,1.0,1.0,1.0,0.45454545454545453,1.0,0.7857632253731271,0.6285714285714286,0.6428571428571429,0.7967032967032966,0.0,0.9285714285714286,1.0,1.0,0.42857142857142855,0.9615384615384616
small_1_hidden_4_lr_0_001,2,0.001,13 -> 4 -> 3,0.7623428331475489,0.7102803738317757,0.6511627906976744,0.8396990740740741,1.0,0.9534883720930233,0.0,0.9722222222222222,0.546875,1.0,0.7871814922182189,0.7222222222222222,0.6666666666666666,0.8497474747474748,1.0,1.0,0.0,0.9583333333333334,0.5909090909090909,1.0,0.7769180346328998,0.7428571428571429,0.6666666666666666,0.8571428571428571,1.0,1.0,0.0,1.0,0.5714285714285714,1.0
small_1_hidden_4_lr_0_001,3,0.001,13 -> 4 -> 3,0.7599194838808406,0.7009345794392523,0.6434108527131782,0.8350694444444445,1.0,0.9302325581395349,0.0,0.9583333333333334,0.546875,1.0,0.7761596588762979,0.6111111111111112,0.5714285714285715,0.7929292929292929,1.0,0.7142857142857143,0.0,0.8333333333333334,0.5454545454545454,1.0,0.7437411636848188,0.6285714285714286,0.5714285714285715,0.7991718426501034,1.0,0.7142857142857143,0.0,0.8260869565217391,0.5714285714285714,1.0
small_1_hidden_4_lr_0_001,4,0.001,13 -> 4 -> 3,0.8316387966008828,0.6635514018691588,0.6589147286821705,0.8134348290598291,0.0,0.9767441860465116,1.0,1.0,0.453125,0.9871794871794872,0.8620823225351013,0.5833333333333334,0.5952380952380952,0.7797202797202797,0.0,0.7857142857142857,1.0,1.0,0.45454545454545453,0.8846153846153846,0.8150542797668012,0.6571428571428571,0.6666666666666666,0.8095238095238096,0.0,1.0,1.0,1.0,0.42857142857142855,1.0
small_1_hidden_4_lr_0_001,5,0.001,13 -> 4 -> 3,0.8853093867682572,0.6915887850467289,0.6285714285714286,0.828125,0.8857142857142857,1.0,0.0,1.0,0.484375,1.0,0.8820349510203616,0.7222222222222222,0.6666666666666666,0.8484848484848485,1.0,1.0,0.0,1.0,0.5454545454545454,1.0,0.8783239667114366,0.6285714285714286,0.5555555555555555,0.7936507936507936,0.6666666666666666,1.0,0.0,1.0,0.38095238095238093,1.0
small_1_hidden_4_lr_0_001,6,0.001,13 -> 4 -> 3,0.7864826953089431,0.6355140186915887,0.6356589147286821,0.8006143162393163,0.0,0.9069767441860465,1.0,1.0,0.453125,0.9487179487179487,0.790573983145502,0.5833333333333334,0.5952380952380952,0.7797202797202797,0.0,0.7857142857142857,1.0,1.0,0.45454545454545453,0.8846153846153846,0.8206097591552081,0.6,0.6190476190476191,0.7838827838827839,0.0,0.8571428571428571,1.0,1.0,0.42857142857142855,0.9230769230769231
small_1_hidden_4_lr_0_001,7,0.001,13 -> 4 -> 3,0.8434305448552463,0.719626168224299,0.6571428571428571,0.84375,0.9714285714285714,1.0,0.0,1.0,0.53125,1.0,0.8986230952698399,0.6111111111111112,0.5555555555555555,0.787878787878788,0.6666666666666666,1.0,0.0,1.0,0.36363636363636365,1.0,0.8474391923930892,0.7428571428571429,0.6666666666666666,0.8571428571428571,1.0,1.0,0.0,1.0,0.5714285714285714,1.0
small_1_hidden_4_lr_0_001,8,0.001,13 -> 4 -> 3,0.6531900882870343,0.6635514018691588,0.6589147286821705,0.8134348290598291,0.0,0.9767441860465116,1.0,1.0,0.453125,0.9871794871794872,0.6191694573004562,0.6666666666666666,0.6666666666666666,0.8181818181818182,0.0,1.0,1.0,1.0,0.45454545454545453,1.0,0.6991344684214439,0.5714285714285714,0.5952380952380952,0.771062271062271,0.0,0.7857142857142857,1.0,1.0,0.42857142857142855,0.8846153846153846
small_1_hidden_4_lr_0_001,9,0.001,13 -> 4 -> 3,0.5168421114707563,0.9719626168224299,0.9767441860465116,0.9864672364672366,1.0,0.9302325581395349,1.0,0.9722222222222222,1.0,0.9871794871794872,0.5384638805841981,0.9444444444444444,0.9523809523809524,0.9743589743589745,1.0,0.8571428571428571,1.0,1.0,1.0,0.9230769230769231,0.508596209830769,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
