epoch,train_loss,val_loss,test_loss,train_accuracy,val_accuracy,test_accuracy,train_macro_sensitivity,val_macro_sensitivity,test_macro_sensitivity,train_macro_specificity,val_macro_specificity,test_macro_specificity
1,1.09359928320823,1.094466485213433,1.0931414501177465,0.40186915887850466,0.3888888888888889,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
100,0.18444881825445145,0.25397248191335103,0.1479969570235789,0.9813084112149533,0.9166666666666666,1.0,0.9844961240310077,0.9285714285714285,1.0,0.9910968660968661,0.9604700854700855,1.0
200,0.002491147196926052,0.06063301730611067,0.001304382685204582,1.0,0.9722222222222222,1.0,1.0,0.9666666666666667,1.0,1.0,0.9848484848484849,1.0
300,0.0008999286131589248,0.06493775455774912,0.0004470730724260602,1.0,0.9722222222222222,1.0,1.0,0.9666666666666667,1.0,1.0,0.9848484848484849,1.0
400,0.000514517121959372,0.07077279847794155,0.0002561900049587235,1.0,0.9722222222222222,1.0,1.0,0.9666666666666667,1.0,1.0,0.9848484848484849,1.0
500,0.0003502134343163234,0.07497741495365826,0.00017487085790774532,1.0,0.9722222222222222,1.0,1.0,0.9666666666666667,1.0,1.0,0.9848484848484849,1.0
600,0.0002610341959509288,0.07894200355326764,0.00013252481580797,1.0,0.9722222222222222,1.0,1.0,0.9666666666666667,1.0,1.0,0.9848484848484849,1.0
700,0.00020576630358438506,0.08232937087237452,0.00010663312119764157,1.0,0.9722222222222222,1.0,1.0,0.9666666666666667,1.0,1.0,0.9848484848484849,1.0
800,0.0001687028545944483,0.08537092332632898,8.911672469398933e-05,1.0,0.9722222222222222,1.0,1.0,0.9666666666666667,1.0,1.0,0.9848484848484849,1.0
900,0.00014216811650878547,0.087720478628507,7.61440911115925e-05,1.0,0.9722222222222222,1.0,1.0,0.9666666666666667,1.0,1.0,0.9848484848484849,1.0
1000,0.00012218567708823053,0.09041778674553025,6.671868781563113e-05,1.0,0.9722222222222222,1.0,1.0,0.9666666666666667,1.0,1.0,0.9848484848484849,1.0
