epoch,train_loss,val_loss,test_loss,train_accuracy,val_accuracy,test_accuracy,train_macro_sensitivity,val_macro_sensitivity,test_macro_sensitivity,train_macro_specificity,val_macro_specificity,test_macro_specificity
1,1.0975696676869322,1.09764252279798,1.0973831002344085,0.40186915887850466,0.3888888888888889,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
100,0.5084641462359988,0.5219927167297438,0.4910568862450616,0.719626168224299,0.7222222222222222,0.7428571428571429,0.6589147286821705,0.6666666666666666,0.6666666666666666,0.8443287037037037,0.8484848484848485,0.8571428571428571
200,0.19463653637800823,0.20376189094009176,0.19049497422902154,1.0,1.0,0.9714285714285714,1.0,1.0,0.9629629629629629,1.0,1.0,0.9841269841269842
300,0.11018926515572375,0.1185265739994377,0.11048859845698893,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
400,0.07323678387160834,0.08438012296243197,0.07746872404822658,1.0,0.9722222222222222,1.0,1.0,0.9761904761904763,1.0,1.0,0.9871794871794872,1.0
500,0.053496706156349466,0.06844188205548617,0.059855316487138994,1.0,0.9722222222222222,1.0,1.0,0.9761904761904763,1.0,1.0,0.9871794871794872,1.0
600,0.04154861233325982,0.06036843992614343,0.048951018645123724,1.0,0.9722222222222222,1.0,1.0,0.9761904761904763,1.0,1.0,0.9871794871794872,1.0
700,0.03367945000025756,0.056239605770995946,0.04142110244554624,1.0,0.9722222222222222,1.0,1.0,0.9761904761904763,1.0,1.0,0.9871794871794872,1.0
800,0.02815671699503258,0.053357973707070974,0.03631037691862264,1.0,0.9722222222222222,1.0,1.0,0.9761904761904763,1.0,1.0,0.9871794871794872,1.0
900,0.024113695530302792,0.051378818057479375,0.03258014261792481,1.0,0.9722222222222222,1.0,1.0,0.9761904761904763,1.0,1.0,0.9871794871794872,1.0
1000,0.021026309741132395,0.05059703127501235,0.02943319744338249,1.0,0.9722222222222222,1.0,1.0,0.9761904761904763,1.0,1.0,0.9871794871794872,1.0
