epoch,train_loss,val_loss,test_loss,train_accuracy,val_accuracy,test_accuracy,train_macro_sensitivity,val_macro_sensitivity,test_macro_sensitivity,train_macro_specificity,val_macro_specificity,test_macro_specificity
1,1.0928772040014127,1.0936333460283656,1.0921813562002116,0.40186915887850466,0.3888888888888889,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
100,0.005369290841329163,0.0026095244775069283,0.10995015252837136,1.0,1.0,0.9428571428571428,1.0,1.0,0.9523809523809524,1.0,1.0,0.9743589743589745
200,0.002201489653159918,0.0008770024998933304,0.12727531782686272,1.0,1.0,0.9714285714285714,1.0,1.0,0.9761904761904763,1.0,1.0,0.9871794871794872
300,0.0013267700711252558,0.00047896141275982764,0.13867736898025132,1.0,1.0,0.9428571428571428,1.0,1.0,0.9523809523809524,1.0,1.0,0.9743589743589745
400,0.0009319337984193476,0.0003125467946535855,0.1474134523914435,1.0,1.0,0.9428571428571428,1.0,1.0,0.9523809523809524,1.0,1.0,0.9743589743589745
500,0.0007105309971864482,0.0002298061334702294,0.15468282112602447,1.0,1.0,0.9428571428571428,1.0,1.0,0.9523809523809524,1.0,1.0,0.9743589743589745
600,0.0005696355846753278,0.00017678209114089312,0.15997494321644345,1.0,1.0,0.9428571428571428,1.0,1.0,0.9523809523809524,1.0,1.0,0.9743589743589745
700,0.00047388929118882714,0.00014417917710869468,0.1649736783522559,1.0,1.0,0.9428571428571428,1.0,1.0,0.9523809523809524,1.0,1.0,0.9743589743589745
800,0.00040406530207642453,0.00011931032716183763,0.16852486637511452,1.0,1.0,0.9428571428571428,1.0,1.0,0.9523809523809524,1.0,1.0,0.9743589743589745
900,0.0003512010389350622,0.00010112515442716283,0.17239721788092574,1.0,1.0,0.9428571428571428,1.0,1.0,0.9523809523809524,1.0,1.0,0.9743589743589745
1000,0.0003101354251543449,8.764028094377227e-05,0.17519697577404897,1.0,1.0,0.9428571428571428,1.0,1.0,0.9523809523809524,1.0,1.0,0.9743589743589745
