epoch,train_loss,val_loss,test_loss,train_accuracy,val_accuracy,test_accuracy,train_macro_sensitivity,val_macro_sensitivity,test_macro_sensitivity,train_macro_specificity,val_macro_specificity,test_macro_specificity
1,1.098598482300334,1.0984370208592047,1.098672198824296,0.35514018691588783,0.5555555555555556,0.2571428571428571,0.33297437659907586,0.5285714285714286,0.23941798941798945,0.6659099002849003,0.7624320124320124,0.6158623984710941
100,1.0928348694880416,1.0935659478887756,1.092591455443992,0.40186915887850466,0.3888888888888889,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
200,1.0879679561116589,1.0894168075781137,1.0875284076227505,0.40186915887850466,0.3888888888888889,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
300,1.08162970749654,1.0837551308523021,1.081249333987262,0.40186915887850466,0.3888888888888889,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
400,1.0691867542085562,1.0720365017288058,1.069411360546097,0.40186915887850466,0.3888888888888889,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
500,1.0403448429099533,1.0442559334627257,1.0423235343508792,0.4485981308411215,0.4166666666666667,0.4,0.38095238095238093,0.3611111111111111,0.3333333333333333,0.6927083333333334,0.6818181818181818,0.6666666666666666
600,0.9742126590516137,0.979657543763326,0.97999381947183,0.6822429906542056,0.6666666666666666,0.6571428571428571,0.6190476190476191,0.6166666666666667,0.5833333333333334,0.8229166666666666,0.8181818181818182,0.8095238095238096
700,0.8442187062215347,0.8511658231233007,0.8559429392166721,0.9532710280373832,1.0,1.0,0.9519838087600717,1.0,1.0,0.9751157407407408,1.0,1.0
800,0.6598871441433987,0.6661044333978471,0.6770900138498975,0.9719626168224299,1.0,0.9714285714285714,0.9767441860465116,1.0,0.9761904761904763,0.9864672364672366,1.0,0.9871794871794872
900,0.4817766281149647,0.48665571799186086,0.5046602326079018,0.9626168224299065,1.0,0.9714285714285714,0.9689922480620154,1.0,0.9761904761904763,0.9821937321937323,1.0,0.9871794871794872
1000,0.34480198819639124,0.35082928967987237,0.3750512283425215,0.9719626168224299,1.0,0.9714285714285714,0.9767441860465116,1.0,0.9761904761904763,0.9868233618233618,1.0,0.9871794871794872
