epoch,train_loss,val_loss,test_loss,train_accuracy,val_accuracy,test_accuracy,train_macro_sensitivity,val_macro_sensitivity,test_macro_sensitivity,train_macro_specificity,val_macro_specificity,test_macro_specificity
1,1.0937912496091842,1.0946699226829193,1.0935049334379925,0.40186915887850466,0.3888888888888889,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
100,0.5264648694059852,0.5499406792567022,0.521837675357957,0.7289719626168224,0.6944444444444444,0.7428571428571429,0.6666666666666666,0.6428571428571429,0.6666666666666666,0.8489583333333334,0.8345959595959597,0.8571428571428571
200,0.0020470928503641688,0.05486122209252369,0.006027643647289048,1.0,0.9722222222222222,1.0,1.0,0.9761904761904763,1.0,1.0,0.9871794871794872,1.0
300,0.0007136930609606098,0.06485451820423224,0.00380217399425259,1.0,0.9722222222222222,1.0,1.0,0.9761904761904763,1.0,1.0,0.9871794871794872,1.0
400,0.0004123453074553361,0.07061124369277208,0.0030801714870790343,1.0,0.9722222222222222,1.0,1.0,0.9761904761904763,1.0,1.0,0.9871794871794872,1.0
500,0.00028485024555905975,0.07485589725985174,0.0026821058172367706,1.0,0.9722222222222222,1.0,1.0,0.9761904761904763,1.0,1.0,0.9871794871794872,1.0
600,0.000214972124082034,0.07799218824309782,0.0024290463416520047,1.0,0.9722222222222222,1.0,1.0,0.9761904761904763,1.0,1.0,0.9871794871794872,1.0
700,0.0001714928917109076,0.080775715053065,0.0022298748320136244,1.0,0.9722222222222222,1.0,1.0,0.9761904761904763,1.0,1.0,0.9871794871794872,1.0
800,0.00014194299039291055,0.08302638053749761,0.002084755854363711,1.0,0.9722222222222222,1.0,1.0,0.9761904761904763,1.0,1.0,0.9871794871794872,1.0
900,0.00012066211331265471,0.0847870759796601,0.001968287535611877,1.0,0.9722222222222222,1.0,1.0,0.9761904761904763,1.0,1.0,0.9871794871794872,1.0
1000,0.00010468116386123453,0.08627805440480428,0.0018820019596158422,1.0,0.9722222222222222,1.0,1.0,0.9761904761904763,1.0,1.0,0.9871794871794872,1.0
