epoch,train_loss,val_loss,test_loss,train_accuracy,val_accuracy,test_accuracy,train_macro_sensitivity,val_macro_sensitivity,test_macro_sensitivity,train_macro_specificity,val_macro_specificity,test_macro_specificity
1,1.0977314785690637,1.0977815524680323,1.0976421737544542,0.40186915887850466,0.3888888888888889,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
100,0.55198540608388,0.6085133941826655,0.5171192417107378,0.6635514018691588,0.6111111111111112,0.6571428571428571,0.6589147286821705,0.6190476190476191,0.6666666666666666,0.8134348290598291,0.7925407925407925,0.8095238095238096
200,0.1905908301423578,0.24253030045397317,0.1657423738475416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
300,0.09765573024555176,0.15521325120079926,0.08660628965691337,1.0,0.9722222222222222,1.0,1.0,0.9666666666666667,1.0,1.0,0.9848484848484849,1.0
400,0.06254146403617124,0.12953542172990223,0.05742269208723537,1.0,0.9722222222222222,1.0,1.0,0.9666666666666667,1.0,1.0,0.9848484848484849,1.0
500,0.0450771590798146,0.11838649215549395,0.04250025848700797,1.0,0.9722222222222222,1.0,1.0,0.9666666666666667,1.0,1.0,0.9848484848484849,1.0
600,0.03485672537435295,0.11343312492779417,0.03372127391142537,1.0,0.9722222222222222,1.0,1.0,0.9666666666666667,1.0,1.0,0.9848484848484849,1.0
700,0.028248318296474322,0.11049010761306263,0.027899395765689505,1.0,0.9722222222222222,1.0,1.0,0.9666666666666667,1.0,1.0,0.9848484848484849,1.0
800,0.02366045192021724,0.10921784251326468,0.023817288140021296,1.0,0.9722222222222222,1.0,1.0,0.9666666666666667,1.0,1.0,0.9848484848484849,1.0
900,0.020302850730313387,0.10844415584649253,0.02076290651784901,1.0,0.9722222222222222,1.0,1.0,0.9666666666666667,1.0,1.0,0.9848484848484849,1.0
1000,0.017752835064858506,0.10883959250674596,0.018457759330085248,1.0,0.9444444444444444,1.0,1.0,0.9333333333333332,1.0,1.0,0.9696969696969697,1.0
